	MN_BIO1	MN_BIO4	ND_BIO1	ND_BIO4	NW_BIO1	NW_BIO4	PA_BIO1	PA_BIO4	WI_BIO1	WI_BIO4	WO_BIO1	WO_BIO4
MN_BIO1	0	3	1	3	1	3	1	3	1	3	1	3
MN_BIO4	3	0	3	2	3	2	3	2	3	2	3	2
ND_BIO1	1	3	0	3	1	3	1	3	1	3	1	3
ND_BIO4	3	2	3	0	3	2	3	2	3	2	3	2
NW_BIO1	1	3	1	3	0	3	1	3	1	3	1	3
NW_BIO4	3	2	3	2	3	0	3	2	3	2	3	2
PA_BIO1	1	3	1	3	1	3	0	3	1	3	1	3
PA_BIO4	3	2	3	2	3	2	3	0	3	2	3	2
WI_BIO1	1	3	1	3	1	3	1	3	0	3	1	3
WI_BIO4	3	2	3	2	3	2	3	2	3	0	3	2
WO_BIO1	1	3	1	3	1	3	1	3	1	3	0	3
WO_BIO4	3	2	3	2	3	2	3	2	3	2	3	0
