sampleId,country,city,collectionDate,lat,long,season,locality,type,continent,set,nFlies,Prefix_filename,SRA_accession,SRA_experiment,year,yday,stationId,dist_km,Continental_clusters
NW_BIO1_S1_140711,US,Hoytville,2013-06-07,41.22,-83.76,Summer,NW_BIO1,Pooled,North America,AndyLab_genome,5,Pool5_140711,SRR3190070,SRX1602081,2013,158,USHOH0001,NA,1.Nort_America
NW_BIO1_S1_140722,US,Hoytville,2013-06-07,41.22,-83.76,Summer,NW_BIO1,Pooled,North America,AndyLab_genome,5,Pool5_140722,SRR3190070,SRX1602081,2013,158,USHOH0001,NA,1.Nort_America
NW_BIO1_S1_140725,US,Hoytville,2013-06-07,41.22,-83.76,Summer,NW_BIO1,Pooled,North America,AndyLab_genome,5,Pool5_140725,SRR3190070,SRX1602081,2013,158,USHOH0001,NA,1.Nort_America
NW_BIO1_S1_140730,US,Hoytville,2013-06-07,41.22,-83.76,Summer,NW_BIO1,Pooled,North America,AndyLab_genome,5,Pool5_140730,SRR3190070,SRX1602081,2013,158,USHOH0001,NA,1.Nort_America
NW_BIO1_S2_140711,US,Hoytville,2013-06-15,41.22,-83.76,Summer,NW_BIO1,Pooled,North America,AndyLab_genome,5,Pool6_140711,SRR3190071,SRX1602082,2013,166,USHOH0001,NA,1.Nort_America
NW_BIO1_S2_140722,US,Hoytville,2013-06-15,41.22,-83.76,Summer,NW_BIO1,Pooled,North America,AndyLab_genome,5,Pool6_140722,SRR3190071,SRX1602082,2013,166,USHOH0001,NA,1.Nort_America
NW_BIO1_S2_140725,US,Hoytville,2013-06-15,41.22,-83.76,Summer,NW_BIO1,Pooled,North America,AndyLab_genome,5,Pool6_140725,SRR3190071,SRX1602082,2013,166,USHOH0001,NA,1.Nort_America
NW_BIO1_S2_140730,US,Hoytville,2013-06-15,41.22,-83.76,Summer,NW_BIO1,Pooled,North America,AndyLab_genome,5,Pool6_140730,SRR3190071,SRX1602082,2013,166,USHOH0001,NA,1.Nort_America
NW_BIO4_S1_140711,US,Hoytville,2013-06-19,41.22,-83.76,Summer,NW_BIO4,Pooled,North America,AndyLab_genome,5,Pool7_140711,SRR3190072,SRX1602083,2013,170,USHOH0001,NA,1.Nort_America
NW_BIO4_S1_140722,US,Hoytville,2013-06-19,41.22,-83.76,Summer,NW_BIO4,Pooled,North America,AndyLab_genome,5,Pool7_140722,SRR3190072,SRX1602083,2013,170,USHOH0001,NA,1.Nort_America
NW_BIO4_S1_140725,US,Hoytville,2013-06-19,41.22,-83.76,Summer,NW_BIO4,Pooled,North America,AndyLab_genome,5,Pool7_140725,SRR3190072,SRX1602083,2013,170,USHOH0001,NA,1.Nort_America
NW_BIO4_S1_140730,US,Hoytville,2013-06-19,41.22,-83.76,Summer,NW_BIO4,Pooled,North America,AndyLab_genome,5,Pool7_140730,SRR3190072,SRX1602083,2013,170,USHOH0001,NA,1.Nort_America
NW_BIO4_S1_AddRun,US,Hoytville,2013-06-19,41.22,-83.76,Summer,NW_BIO4,Pooled,North America,AndyLab_genome,5,Pool7_AddRun,SRR3190072,SRX1602083,2013,170,USHOH0001,NA,1.Nort_America
