	MN_BIO1	MN_BIO4	ND_BIO1	ND_BIO4	NW_BIO1	NW_BIO4	PA_BIO1	PA_BIO4	WI_BIO1	WI_BIO4	WO_BIO1	WO_BIO4
MN_BIO1	0	2	1	2	1	2	1	2	1	2	1	2
MN_BIO4	2	0	2	1	2	1	2	1	2	1	2	1
ND_BIO1	1	2	0	2	1	2	1	2	1	2	1	2
ND_BIO4	2	1	2	0	2	1	2	1	2	1	2	1
NW_BIO1	1	2	1	2	0	2	1	2	1	2	1	2
NW_BIO4	2	1	2	1	2	0	2	1	2	1	2	1
PA_BIO1	1	2	1	2	1	2	0	2	1	2	1	2
PA_BIO4	2	1	2	1	2	1	2	0	2	1	2	1
WI_BIO1	1	2	1	2	1	2	1	2	0	2	1	2
WI_BIO4	2	1	2	1	2	1	2	1	2	0	2	1
WO_BIO1	1	2	1	2	1	2	1	2	1	2	0	2
WO_BIO4	2	1	2	1	2	1	2	1	2	1	2	0
