Estimate	Std. Error	t value	Pr(>|t|)	V5	V6
-0.479624320381288	0.0174937914064585	-27.4168308765941	4.44511217855708e-79	1	lat
-0.489567277154088	0.121859855222615	-4.01746150329607	7.68389938473944e-05	1	long
-0.12744373920469	0.0622911660361892	-2.04593600207531	0.0417572735375787	2	lat
3.26353142010278	0.110108556246879	29.6392172537934	8.21990243041847e-86	2	long
-0.0671540821555692	0.110099492084309	-0.609939981413769	0.542428194507251	3	lat
1.79978138394508	0.386944990612225	4.65125903580626	5.23002521492182e-06	3	long
-0.342339403958441	0.119607127083635	-2.86219903701108	0.00454559489154073	4	lat
0.680741878011947	0.441762266741137	1.54096881798836	0.12452667680297	4	long
-0.0240484486221867	0.132522783783249	-0.181466521722935	0.856141183430767	5	lat
0.467942268425194	0.483356895740055	0.968109222293683	0.333879248559471	5	long
0.670024525219735	0.13834045994267	4.84330126918329	2.18238769638014e-06	6	lat
1.3664093113796	0.520729528756208	2.62402885936457	0.00919757307970009	6	long
0.295642466500037	0.160925567330356	1.83713794771422	0.067317781002457	7	lat
-0.100683082662858	0.591687917659546	-0.170162478661244	0.865013182401557	7	long
0.0609086546286739	0.166798016801596	0.365164141616408	0.715282370288042	8	lat
0.516372344762335	0.608737835577529	0.848267208941326	0.397060538164646	8	long
0.502910283277106	0.169491406042869	2.96717276125437	0.00328219902979632	9	lat
0.0481878256087557	0.62952882807273	0.0765458601098225	0.939043027158499	9	long
0.382185697407012	0.178243038609469	2.14418302329541	0.0329350144655703	10	lat
0.137978802423064	0.656843572334131	0.210063412712936	0.833780822443123	10	long
-0.313417832368468	0.194345143022574	-1.61268672576018	0.108011854509661	11	lat
0.11796543746132	0.713527219382339	0.165327172190342	0.868813481369668	11	long
-0.111001126064871	0.206517428285868	-0.537490356074065	0.591383424374315	12	lat
-1.16409136315435	0.75152899496508	-1.54896400664946	0.122592838229341	12	long
-0.0180824199991104	0.211182397391771	-0.085624655380558	0.931829945378208	13	lat
0.293424877187747	0.771377507118848	0.380390761306628	0.703962408950062	13	long
-0.256936659909839	0.212469609660931	-1.20928663783903	0.227638699104038	14	lat
-0.0690284679851295	0.778425471529258	-0.0886770416819987	0.929406065888724	14	long
-0.0761108026491158	0.217387382700732	-0.350116008130491	0.72653186288619	15	lat
0.716602787131559	0.793204772842269	0.903427225436095	0.367125921785197	15	long
-0.181869608262224	0.223159178560473	-0.814977046588024	0.415822830327839	16	lat
-0.895768371990003	0.814495581361907	-1.09978297303001	0.272432348979201	16	long
0.183358620329766	0.225163297766288	0.81433618244518	0.416189111294737	17	lat
0.15409965853296	0.823641419250451	0.187095567235068	0.85172995380059	17	long
0.0892437277235503	0.228262519862814	0.39096969479346	0.696136167203182	18	lat
-1.16035469612701	0.831151348893417	-1.39608110805799	0.163867370457318	18	long
-0.275748425239971	0.23783361115815	-1.15941739225668	0.247337628479561	19	lat
-1.42197886598737	0.866746169316354	-1.64059434737272	0.102077033230187	19	long
-0.0293297455262956	0.246076912347506	-0.11918934306554	0.905216339471068	20	lat
0.133922871626996	0.89905635916418	0.148959373082572	0.881699845674585	20	long
0.130686961554269	0.247766015864236	0.527461206083563	0.598318024028136	21	lat
0.305746596211636	0.905523772854288	0.337646128547125	0.735899209579723	21	long
0.173379782652784	0.252946273199404	0.685441143132021	0.493669301817275	22	lat
-0.460627500652178	0.924556911874161	-0.498214328113609	0.618749350475585	22	long
0.0149709582507846	0.258358875229508	0.0579463671897684	0.953835351155168	23	lat
0.296182404799503	0.943772882460087	0.313828051540811	0.753900409718919	23	long
0.298441222074278	0.258033787673071	1.1565974547969	0.248486342353043	24	lat
0.111482727875417	0.945125373408695	0.11795549142157	0.90619295957856	24	long
-0.251460451852922	0.266978451901481	-0.941875458719469	0.347120748189608	25	lat
-0.656464455863039	0.976241033636242	-0.672440957964941	0.501893358447664	25	long
0.00482632718170825	0.270606189622156	0.0178352431200749	0.985783812029345	26	lat
-0.450590560081872	0.98830062233449	-0.455924594095185	0.648820432109793	26	long
0.0724619962194644	0.273190454747232	0.26524351404045	0.791029654196132	27	lat
-0.325025238492688	0.998064701483274	-0.325655479058274	0.744943974927956	27	long
-0.0889307717639101	0.273564129215462	-0.325081990898986	0.745377466509911	28	lat
-0.0794802332455978	0.999686452469321	-0.0795051618927855	0.936691287010273	28	long
0.0494452051960308	0.276245059994758	0.178990368902775	0.858083073986544	29	lat
-0.171775108584606	1.00929865734286	-0.170192546413201	0.864989560439788	29	long
-0.100571529568805	0.279549416388829	-0.35976297453227	0.719313105749762	30	lat
-0.243335037480164	1.02150670109257	-0.238211885658606	0.811902248660021	30	long
0.118608049186232	0.283658110700069	0.418137344613579	0.676187908069533	31	lat
0.188829541979456	1.03665622607356	0.182152518096251	0.855603354115828	31	long
-0.0615239621145982	0.28599999561712	-0.215118751949083	0.829841453430814	32	lat
-0.203791776941376	1.04494989987215	-0.195025404535003	0.845523635323047	32	long
-0.137965347603988	0.287740107325602	-0.479479030178677	0.631996347545882	33	lat
-0.44193596152833	1.05139752079594	-0.420331941808052	0.674586196301784	33	long
-0.0142282559266737	0.28859621812823	-0.0493016021448757	0.960716362772986	34	lat
-0.536138138099231	1.05390560457802	-0.508715520413138	0.611378122120399	34	long
0.0665206288896191	0.298611875160803	0.222766187224797	0.823890394097772	35	lat
0.0193979802072481	1.09111473753348	0.0177781305118269	0.985829330757071	35	long
-0.0227689972082223	0.300250400329984	-0.0758333616980976	0.939609326216152	36	lat
0.703237661932198	1.09615361162644	0.641550284990399	0.521723939445236	36	long
